"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"ピアポントとは意見が合わない点も多いけど、フェイスレスヴォイドを怒らせるのは危険だと気づいた彼は賢明だった。私はクラスズリーム協定はあまり好きじゃない。時間魔法は楽しかったからね。でも、世界の時系列がムチャクチャになるよりはましさ。"
"DCG_VO_vanessa_whispers_of_madness"	"ピアポントはいつも、「理解できないものをいじるな」と言う。たいていは、ただのおせっかいな説教だけど…残念なことに、やつの警告が正しいこともある。まあ、ほとんどは正しいというのか…私はヘマをして死んでも生き返らなかったことはない。うーん、考えてみると、やつの言うことは全部おせっかいな説教だったな。"
"DCG_VO_vanessa_relentless_zombie"	"ノッホ、ローズリーフで死者が蘇っているぞ…誰かが「誓約」を行ったんだ。"
"DCG_VO_vanessa_howling_mind"	"タイラーエステートが捕えたウィザードは、ごく稀に釈放されることがある…でもその時にはもう元に戻れないほど変わり果てているんだ。"
"DCG_VO_vanessa_aghanims_sanctum"	"アガニムは、史上最強のウィザードさ。疑う余地もない、無比の存在なんだ。だからある日彼が姿をくらました時には、どうやったかなんて誰も気にしなかったが、なぜ姿を消したのかは、皆が不思議に思ったものさ。命を狙われて身を潜めたんだという人もいるけど、まさかね。私に言わせりゃ、アガニムは何か計画を進めているんだ。きっと何か重要な…世界を変えてしまうようなものさ。"
"DCG_VO_vanessa_arcane_assault"	"ルービックはアガニムの息子を名乗っている。怪しい話だけど、面と向かってそう言うつもりはないね。"
"DCG_VO_vanessa_glyph_of_confusion"	"この世界は危険な場所だ。相当数の人から死を望まれれば、自然と予防措置を覚えるのさ。"
"DCG_VO_vanessa_the_tyler_estate"	"魔法使いの世界の大半は、サファイアコンクラーベの権威を認めている。でもウィーピングローズでは自治を保っていて、クオーラムという31人のウィザードによる議院だけに従う。ウィーピングローズの規則は数こそ少ないけど、そのわずかな規則には絶対に従う。そうでないと、タイラーエステートに送られるからだ。 "
"DCG_VO_ogre_bruiser_intro"	"戦いとは、木の幹で敵の頭を叩き潰すようなもの。あくまで、例え話だぞ！"
"DCG_VO_ogre_brusier_fighting_instinct"	"生きてればいろんなヤツに命を狙われる。殺られる前にやれ。"
"DCG_VO_ogre_bruiser_equip_generic_weapon_01"	"武器だ。"
"DCG_VO_ogre_bruiser_equip_generic_weapon_02"	"素手よりはマシだな。"
"DCG_VO_ogre_bruiser_equip_generic_weapon_03"	"岩とは違うが、使えるだろう。"
"DCG_VO_ogre_bruiser_equip_generic_weapon_04"	"これを木のように振ればいいんだな。"
"DCG_VO_ogre_bruiser_equip_generic_weapon_05"	"<i>低い笑い声</i>"
"DCG_VO_ogre_bruiser_equip_generic_armor_01"	"俺にサイズが合うとはな…"
"DCG_VO_ogre_bruiser_equip_generic_armor_02"	"これで誰も俺を殺せない。"
"DCG_VO_ogre_bruiser_equip_generic_armor_03"	"これで血を流さずにすむ。"
"DCG_VO_ogre_bruiser_equip_generic_armor_04"	"実は刺されるのは嫌いなんだ。"
"DCG_VO_ogre_bruiser_equip_generic_armor_05"	"少しは長生きできそうだな。"
"DCG_VO_ogre_bruiser_equip_generic_accessory_01"	"役に立ちそうだ。"
"DCG_VO_ogre_bruiser_equip_generic_accessory_02"	"ありがとよ。"
"DCG_VO_ogre_bruiser_equip_generic_accessory_03"	"シャレてるな。"
"DCG_VO_ogre_bruiser_equip_generic_accessory_04"	"ピカピカだな。"
"DCG_VO_ogre_bruiser_equip_generic_accessory_05"	"綺麗だな。"
"DCG_VO_ogre_bruiser_kill_rival_01"	"お前をぶっ潰す！"
"DCG_VO_ogre_bruiser_kill_rival_02"	"死ね！"
"DCG_VO_ogre_bruiser_kill_rival_03"	"お前はお終いだ！"
"DCG_VO_ogre_bruiser_kill_rival_04"	"叩き潰す！"
"DCG_VO_ogre_bruiser_kill_rival_05"	"ハッハッハッハ！"
"DCG_VO_ogre_bruiser_kill_rival_06"	"こいつは楽しい！"
"DCG_VO_ogre_bruiser_kill_rival_07"	"やってやった。"
"DCG_VO_ogre_bruiser_kill_rival_08"	"あっけなかったぞ。"
"DCG_VO_ogre_bruiser_kill_rival_09"	"もうくたばったのか？"
"DCG_VO_ogre_bruiser_kill_rival_10"	"ケッ！"
"DCG_VO_ogre_bruiser_use_include_01"	"いつでも殺してやる。"
"DCG_VO_ogre_bruiser_use_include_02"	"何でも来い。"
"DCG_VO_ogre_bruiser_use_include_03"	"いつでも戦える。"
"DCG_VO_ogre_bruiser_unique_01"	"頭を2つにするにはどうするんだ？"
"DCG_VO_ogre_bruiser_unique_02"	"マギ、あんた賢いな。"
"DCG_VO_ogre_bruiser_unique_03"	"マギ、あんたために敵を叩くのは光栄だ。"
"DCG_VO_ogre_bruiser_unique_04"	"青銅軍団ってどうなんだい？"
"DCG_VO_ogre_bruiser_unique_05"	"そのメタルのタトゥー、イカすな。"
"DCG_VO_ogre_bruiser_unique_06"	"お前、トレスディンを食って司令官になったらどうだ。"
"DCG_VO_ogre_bruiser_unique_07"	"お前は死体の投げ方をよくわかってるな。"
"DCG_VO_ogre_bruiser_unique_08"	"今度死体の投げ方を教えてくれよ。"
"DCG_VO_ogre_bruiser_unique_09"	"お前の死体投げ、いつも楽しみなんだ。"
"DCG_VO_ogre_bruiser_unique_10"	"オシャレなピットファイターだな。"
"DCG_VO_ogre_bruiser_unique_11"	"難しい言葉を知ってるからって、エラそうにすんじゃねぇ。"
"DCG_VO_ogre_bruiser_unique_12"	"死体男め、お前を殺るには、この2本の腕だけで十分だ！"
"DCG_VO_ogre_bruiser_unique_13"	"その髪、気に入った。"
"DCG_VO_ogre_bruiser_unique_14"	"お前はいい娘だ、メイデン。頭を潰されるなよ。"
"DCG_VO_ogre_bruiser_unique_15"	"俺はレディアントのために戦う。"
"DCG_VO_ogre_bruiser_unique_16"	"レディアントが俺に目的をくれた！"
"DCG_VO_ogre_bruiser_unique_17"	"プレレックス、あんたのおかげだ。"
"DCG_VO_ogre_bruiser_unique_18"	"俺はダイアーのために戦う。"
"DCG_VO_ogre_bruiser_unique_19"	"ダイアーが俺に目的をくれた！"
"DCG_VO_ogre_bruiser_unique_20"	"カンナよ、あんたのおかげだ。"
"DCG_VO_ogre_bruiser_healed_01"	"おおお"
"DCG_VO_ogre_bruiser_healed_02"	"いいだろう。"
"DCG_VO_ogre_bruiser_healed_03"	"まだ戦えるぞ。"
"DCG_VO_ogre_bruiser_healed_04"	"まだまだ耐えられる…"
"DCG_VO_ogre_bruiser_healed_05"	"お前、優しいな。"
"DCG_VO_ogre_bruiser_taunt_generic_01"	"ぶっ潰せ！"
"DCG_VO_ogre_bruiser_taunt_generic_02"	"タワーを壊せ！"
"DCG_VO_ogre_bruiser_taunt_generic_03"	"エンシェントを倒せ！"
"DCG_VO_ogre_bruiser_taunt_generic_04"	"すべてを叩き壊せ！"
"DCG_VO_ogre_bruiser_taunt_generic_05"	"俺たちの力を見せてやる！"
"DCG_VO_ogre_bruiser_taunt_generic_06"	"焼き払え！"
"DCG_VO_ogre_bruiser_taunt_generic_07"	"奴らを叩き潰せ！"
